hcp_id,region,product,month,channel,promo_contacts,sales_units
12,West,Diabetes-A,11,Webinar,2,119.26
12,West,Diabetes-A,12,Email,4,189.07
13,North,Oncology-A,1,Email,4,287.76
13,North,Oncology-A,2,Field,0,195.75
13,North,Oncology-A,3,Field,1,203.5
13,North,Oncology-A,4,Email,3,205.5
13,North,Oncology-A,5,Email,2,222.12
13,North,Oncology-A,6,Field,5,238.14
13,North,Oncology-A,7,Email,1,201.69
13,North,Oncology-A,8,Webinar,4,277.36
13,North,Oncology-A,9,Field,5,308.52
13,North,Oncology-A,10,Email,4,189.77
13,North,Oncology-A,11,Field,0,123.06
13,North,Oncology-A,12,Field,1,176.19
14,South,Oncology-B,1,Webinar,0,85.86
14,South,Oncology-B,2,Field,0,69.88
14,South,Oncology-B,3,Email,2,139.47
14,South,Oncology-B,4,Email,0,104.82
14,South,Oncology-B,5,Field,1,81.88
14,South,Oncology-B,6,Email,3,115.72
14,South,Oncology-B,7,Email,1,67.86
14,South,Oncology-B,8,Field,2,149.46
14,South,Oncology-B,9,Email,1,116.48
14,South,Oncology-B,10,Email,1,100.59
14,South,Oncology-B,11,Webinar,1,125.46
14,South,Oncology-B,12,Field,1,56.1
15,East,Immunology-A,1,Field,2,158.77
15,East,Immunology-A,2,Webinar,1,66.5
15,East,Immunology-A,3,Webinar,3,169.46
15,East,Immunology-A,4,Email,2,122.82
15,East,Immunology-A,5,Email,1,107.33
15,East,Immunology-A,6,Email,1,97.35
15,East,Immunology-A,7,Webinar,1,56.83
15,East,Immunology-A,8,Field,4,150.13
15,East,Immunology-A,9,Field,2,115.34
15,East,Immunology-A,10,Field,1,93.84
15,East,Immunology-A,11,Email,2,107.94
15,East,Immunology-A,12,Webinar,3,106.18
16,West,Diabetes-A,1,Field,2,164.2
16,West,Diabetes-A,2,Email,3,157.34
16,West,Diabetes-A,3,Webinar,6,197.67
16,West,Diabetes-A,4,Email,3,156.51
16,West,Diabetes-A,5,Email,2,118.69
16,West,Diabetes-A,6,Webinar,4,113.81
16,West,Diabetes-A,7,Field,3,88.9
16,West,Diabetes-A,8,Webinar,2,121.23
16,West,Diabetes-A,9,Field,3,201.66
16,West,Diabetes-A,10,Field,0,149.35
16,West,Diabetes-A,11,Email,3,228.19
16,West,Diabetes-A,12,Field,4,161.48
17,North,Oncology-A,1,Field,1,87.83
17,North,Oncology-A,2,Field,2,59.15
17,North,Oncology-A,3,Webinar,4,114.03
17,North,Oncology-A,4,Field,1,84.18
17,North,Oncology-A,5,Field,4,125.68
17,North,Oncology-A,6,Field,7,192.43
17,North,Oncology-A,7,Webinar,2,67.38
17,North,Oncology-A,8,Webinar,1,71.17
17,North,Oncology-A,9,Email,3,118.18
17,North,Oncology-A,10,Webinar,2,84.52
17,North,Oncology-A,11,Field,2,63.28
17,North,Oncology-A,12,Webinar,3,116.13
18,South,Oncology-B,1,Webinar,4,97.63
18,South,Oncology-B,2,Field,2,101.36
18,South,Oncology-B,3,Email,3,120.84
18,South,Oncology-B,4,Email,0,72.8
18,South,Oncology-B,5,Email,3,97.88
18,South,Oncology-B,6,Email,2,130.3
18,South,Oncology-B,7,Webinar,3,117.75
18,South,Oncology-B,8,Email,3,83.56
18,South,Oncology-B,9,Email,3,160.91
18,South,Oncology-B,10,Field,4,154.92
18,South,Oncology-B,11,Email,2,102.25
18,South,Oncology-B,12,Webinar,1,113.76
19,East,Immunology-A,1,Email,3,113.81
19,East,Immunology-A,2,Webinar,4,109.93
19,East,Immunology-A,3,Webinar,3,94.47
19,East,Immunology-A,4,Email,4,141.18
19,East,Immunology-A,5,Webinar,2,87.37
19,East,Immunology-A,6,Email,4,85.96
19,East,Immunology-A,7,Webinar,2,84.95
19,East,Immunology-A,8,Field,2,44.32
19,East,Immunology-A,9,Webinar,3,60.67
19,East,Immunology-A,10,Field,0,32.35
19,East,Immunology-A,11,Field,1,65.1
19,East,Immunology-A,12,Webinar,2,15.5
20,West,Diabetes-A,1,Webinar,2,233.04
20,West,Diabetes-A,2,Webinar,1,196.77
20,West,Diabetes-A,3,Webinar,6,317.44
20,West,Diabetes-A,4,Email,2,214.53
20,West,Diabetes-A,5,Webinar,7,321.72
20,West,Diabetes-A,6,Field,2,246.09
20,West,Diabetes-A,7,Email,1,238.28
20,West,Diabetes-A,8,Webinar,1,183.17
20,West,Diabetes-A,9,Webinar,3,218.11
20,West,Diabetes-A,10,Webinar,2,233.64
20,West,Diabetes-A,11,Webinar,4,274.79
20,West,Diabetes-A,12,Field,4,232.38
21,North,Oncology-A,1,Field,3,143.79
21,North,Oncology-A,2,Webinar,0,64.5
21,North,Oncology-A,3,Field,4,144.13
21,North,Oncology-A,4,Field,4,152.14
21,North,Oncology-A,5,Email,4,152.48
21,North,Oncology-A,6,Webinar,2,63.42
21,North,Oncology-A,7,Field,0,40.39
21,North,Oncology-A,8,Field,1,70.38
21,North,Oncology-A,9,Field,3,90.78
21,North,Oncology-A,10,Webinar,2,84.01
21,North,Oncology-A,11,Email,3,149.1
21,North,Oncology-A,12,Webinar,2,74.56
22,South,Oncology-B,1,Email,0,113.81
22,South,Oncology-B,2,Field,3,135.3
22,South,Oncology-B,3,Email,5,148.66
22,South,Oncology-B,4,Field,3,127.81
22,South,Oncology-B,5,Email,2,95.6
22,South,Oncology-B,6,Field,2,106.39
22,South,Oncology-B,7,Field,4,134.32
22,South,Oncology-B,8,Email,2,124.07
22,South,Oncology-B,9,Webinar,3,138.81
22,South,Oncology-B,10,Field,3,197.68
22,South,Oncology-B,11,Field,1,150.46
22,South,Oncology-B,12,Webinar,1,73.27
23,East,Immunology-A,1,Email,0,46.3
23,East,Immunology-A,2,Webinar,1,138.2
23,East,Immunology-A,3,Webinar,3,99.32
23,East,Immunology-A,4,Webinar,0,28.71
23,East,Immunology-A,5,Email,0,33.27
23,East,Immunology-A,6,Email,6,184.26
23,East,Immunology-A,7,Webinar,4,105.55
23,East,Immunology-A,8,Webinar,3,97.35
23,East,Immunology-A,9,Email,1,96.61
23,East,Immunology-A,10,Field,0,102.08
23,East,Immunology-A,11,Email,2,100.86
23,East,Immunology-A,12,Email,4,159.34
24,West,Diabetes-A,1,Webinar,2,145.83
24,West,Diabetes-A,2,Email,0,98.74
24,West,Diabetes-A,3,Webinar,3,163.55
24,West,Diabetes-A,4,Email,3,179.63
24,West,Diabetes-A,5,Email,0,101.42
24,West,Diabetes-A,6,Webinar,3,149.8
24,West,Diabetes-A,7,Email,2,92.53
24,West,Diabetes-A,8,Webinar,2,153.05
24,West,Diabetes-A,9,Webinar,3,169.03
24,West,Diabetes-A,10,Email,1,75.56
24,West,Diabetes-A,11,Webinar,4,184.13
24,West,Diabetes-A,12,Email,2,162.15
25,North,Oncology-A,1,Field,3,140.35
25,North,Oncology-A,2,Email,3,208.76
25,North,Oncology-A,3,Webinar,1,89.72
25,North,Oncology-A,4,Email,1,112.83
25,North,Oncology-A,5,Email,2,152.17
25,North,Oncology-A,6,Email,2,163.4
25,North,Oncology-A,7,Email,1,133.6
25,North,Oncology-A,8,Webinar,2,161.3
25,North,Oncology-A,9,Email,4,167.68
25,North,Oncology-A,10,Field,2,133.54
25,North,Oncology-A,11,Field,2,119.55
25,North,Oncology-A,12,Webinar,1,144.9
26,South,Oncology-B,1,Webinar,3,178.69
26,South,Oncology-B,2,Email,2,147.2
26,South,Oncology-B,3,Webinar,2,161.77
26,South,Oncology-B,4,Webinar,4,182.89
26,South,Oncology-B,5,Email,5,187.66
26,South,Oncology-B,6,Email,3,128.61
26,South,Oncology-B,7,Field,4,134.0
26,South,Oncology-B,8,Field,2,159.17
26,South,Oncology-B,9,Email,3,143.49
26,South,Oncology-B,10,Field,1,133.18
26,South,Oncology-B,11,Email,2,193.52
26,South,Oncology-B,12,Webinar,4,229.51
27,East,Immunology-A,1,Email,3,196.85
27,East,Immunology-A,2,Field,2,197.69
27,East,Immunology-A,3,Webinar,3,151.43
27,East,Immunology-A,4,Field,2,107.43
27,East,Immunology-A,5,Webinar,2,139.55
27,East,Immunology-A,6,Field,3,257.46
27,East,Immunology-A,7,Webinar,3,189.69
27,East,Immunology-A,8,Webinar,4,254.95
27,East,Immunology-A,9,Email,5,229.32
27,East,Immunology-A,10,Webinar,2,130.13
27,East,Immunology-A,11,Email,0,137.98
27,East,Immunology-A,12,Field,4,180.89
28,West,Diabetes-A,1,Field,3,77.85
28,West,Diabetes-A,2,Webinar,2,77.56
28,West,Diabetes-A,3,Webinar,2,46.3
28,West,Diabetes-A,4,Email,0,9.49
28,West,Diabetes-A,5,Email,5,135.35
28,West,Diabetes-A,6,Email,3,90.01
28,West,Diabetes-A,7,Email,1,68.79
28,West,Diabetes-A,8,Field,1,20.03
28,West,Diabetes-A,9,Email,7,158.38
28,West,Diabetes-A,10,Webinar,2,68.83
28,West,Diabetes-A,11,Email,2,97.63
28,West,Diabetes-A,12,Email,2,49.1
29,North,Oncology-A,1,Webinar,4,306.86
29,North,Oncology-A,2,Field,3,271.65
29,North,Oncology-A,3,Email,2,227.62
29,North,Oncology-A,4,Webinar,2,256.05
29,North,Oncology-A,5,Field,3,233.09
29,North,Oncology-A,6,Webinar,2,207.67
29,North,Oncology-A,7,Webinar,1,219.39
29,North,Oncology-A,8,Email,4,273.5
29,North,Oncology-A,9,Field,3,257.94
29,North,Oncology-A,10,Field,1,222.78
29,North,Oncology-A,11,Field,2,232.37
29,North,Oncology-A,12,Field,6,323.78
30,South,Oncology-B,1,Email,2,126.14
30,South,Oncology-B,2,Email,1,156.38
30,South,Oncology-B,3,Field,5,224.65
30,South,Oncology-B,4,Field,2,124.26
30,South,Oncology-B,5,Field,1,151.85
30,South,Oncology-B,6,Field,4,146.07
30,South,Oncology-B,7,Webinar,1,113.18
30,South,Oncology-B,8,Webinar,2,168.76
30,South,Oncology-B,9,Field,6,180.33
30,South,Oncology-B,10,Webinar,0,88.38
30,South,Oncology-B,11,Webinar,3,167.02
30,South,Oncology-B,12,Webinar,3,173.77
31,East,Immunology-A,1,Field,6,173.08
31,East,Immunology-A,2,Webinar,2,94.02
31,East,Immunology-A,3,Field,4,114.11
31,East,Immunology-A,4,Webinar,3,91.97
31,East,Immunology-A,5,Email,3,116.03
31,East,Immunology-A,6,Email,1,89.95
31,East,Immunology-A,7,Email,1,89.6
31,East,Immunology-A,8,Webinar,3,139.74
31,East,Immunology-A,9,Email,3,101.29
31,East,Immunology-A,10,Field,4,143.15
31,East,Immunology-A,11,Field,1,85.96
31,East,Immunology-A,12,Webinar,3,104.17
32,West,Diabetes-A,1,Field,1,286.41
32,West,Diabetes-A,2,Field,0,225.66
32,West,Diabetes-A,3,Field,2,254.72
32,West,Diabetes-A,4,Field,5,296.18
32,West,Diabetes-A,5,Field,2,257.74
32,West,Diabetes-A,6,Field,2,315.16
32,West,Diabetes-A,7,Webinar,4,294.94
32,West,Diabetes-A,8,Webinar,3,275.09
32,West,Diabetes-A,9,Email,3,263.46
32,West,Diabetes-A,10,Email,0,205.83
32,West,Diabetes-A,11,Webinar,2,267.62
32,West,Diabetes-A,12,Email,1,274.28
33,North,Oncology-A,1,Field,2,130.11
33,North,Oncology-A,2,Webinar,4,163.46
33,North,Oncology-A,3,Email,2,94.59
33,North,Oncology-A,4,Email,4,199.04
33,North,Oncology-A,5,Email,1,144.34
33,North,Oncology-A,6,Field,3,172.32
33,North,Oncology-A,7,Email,2,166.56
33,North,Oncology-A,8,Email,3,185.42
33,North,Oncology-A,9,Webinar,5,209.32
33,North,Oncology-A,10,Field,4,191.98
33,North,Oncology-A,11,Webinar,3,190.34
33,North,Oncology-A,12,Webinar,6,199.57
34,South,Oncology-B,1,Webinar,2,132.39
34,South,Oncology-B,2,Webinar,1,158.88
34,South,Oncology-B,3,Field,3,151.95
34,South,Oncology-B,4,Webinar,0,135.44
34,South,Oncology-B,5,Webinar,1,153.71
34,South,Oncology-B,6,Field,1,126.61
34,South,Oncology-B,7,Field,0,135.74
34,South,Oncology-B,8,Webinar,2,190.22
34,South,Oncology-B,9,Email,3,189.87
34,South,Oncology-B,10,Field,1,165.7
34,South,Oncology-B,11,Email,4,236.13
34,South,Oncology-B,12,Field,2,180.03
35,East,Immunology-A,1,Field,0,114.01
35,East,Immunology-A,2,Email,4,152.76
35,East,Immunology-A,3,Webinar,3,115.57
35,East,Immunology-A,4,Field,1,98.45
35,East,Immunology-A,5,Field,3,132.32
35,East,Immunology-A,6,Webinar,1,122.03
35,East,Immunology-A,7,Field,4,209.1
35,East,Immunology-A,8,Webinar,3,117.69
35,East,Immunology-A,9,Webinar,1,70.31
35,East,Immunology-A,10,Webinar,2,121.77
35,East,Immunology-A,11,Email,2,126.25
35,East,Immunology-A,12,Field,4,178.51
36,West,Diabetes-A,1,Email,3,161.52
36,West,Diabetes-A,2,Webinar,0,98.21
36,West,Diabetes-A,3,Email,2,154.42
36,West,Diabetes-A,4,Email,1,118.66
36,West,Diabetes-A,5,Field,4,200.12
36,West,Diabetes-A,6,Field,2,154.11
36,West,Diabetes-A,7,Email,1,132.79
36,West,Diabetes-A,8,Field,2,152.34
36,West,Diabetes-A,9,Webinar,1,101.5
36,West,Diabetes-A,10,Email,1,140.44
36,West,Diabetes-A,11,Field,1,128.0
36,West,Diabetes-A,12,Email,3,163.76
37,North,Oncology-A,1,Field,1,129.26
37,North,Oncology-A,2,Webinar,0,114.75
37,North,Oncology-A,3,Field,4,224.98
37,North,Oncology-A,4,Webinar,0,73.98
37,North,Oncology-A,5,Webinar,1,136.69
37,North,Oncology-A,6,Email,1,80.85
37,North,Oncology-A,7,Field,2,150.09
37,North,Oncology-A,8,Webinar,0,94.61
37,North,Oncology-A,9,Email,2,138.54
37,North,Oncology-A,10,Email,2,124.88
37,North,Oncology-A,11,Email,2,131.76
37,North,Oncology-A,12,Webinar,3,161.11
38,South,Oncology-B,1,Email,2,74.28
38,South,Oncology-B,2,Webinar,1,96.82
38,South,Oncology-B,3,Field,4,112.47
38,South,Oncology-B,4,Field,1,25.29
38,South,Oncology-B,5,Webinar,0,40.07
38,South,Oncology-B,6,Field,7,170.73
38,South,Oncology-B,7,Email,2,66.1
38,South,Oncology-B,8,Email,2,31.74
38,South,Oncology-B,9,Webinar,2,52.57
38,South,Oncology-B,10,Field,1,57.26
38,South,Oncology-B,11,Field,1,65.59
38,South,Oncology-B,12,Field,5,116.21
39,East,Immunology-A,1,Field,6,168.13
39,East,Immunology-A,2,Webinar,2,116.49
39,East,Immunology-A,3,Webinar,1,103.53
39,East,Immunology-A,4,Webinar,2,139.62
39,East,Immunology-A,5,Email,1,121.3
39,East,Immunology-A,6,Email,4,175.71
39,East,Immunology-A,7,Field,2,143.02
39,East,Immunology-A,8,Email,1,171.49
39,East,Immunology-A,9,Webinar,4,160.88
39,East,Immunology-A,10,Webinar,2,140.56
39,East,Immunology-A,11,Field,2,133.03
39,East,Immunology-A,12,Field,1,133.19
40,West,Diabetes-A,1,Email,2,111.62
40,West,Diabetes-A,2,Email,1,68.32
40,West,Diabetes-A,3,Field,3,155.15
40,West,Diabetes-A,4,Email,1,71.61
40,West,Diabetes-A,5,Webinar,5,124.48
40,West,Diabetes-A,6,Field,3,111.27
40,West,Diabetes-A,7,Email,1,96.5
40,West,Diabetes-A,8,Webinar,1,110.28
40,West,Diabetes-A,9,Webinar,4,105.7
40,West,Diabetes-A,10,Webinar,1,83.5
40,West,Diabetes-A,11,Webinar,2,88.23
40,West,Diabetes-A,12,Field,2,73.8
41,North,Oncology-A,1,Webinar,1,91.66
41,North,Oncology-A,2,Email,3,120.68
41,North,Oncology-A,3,Webinar,2,133.84
41,North,Oncology-A,4,Email,2,92.42
41,North,Oncology-A,5,Webinar,0,75.63
41,North,Oncology-A,6,Webinar,7,209.94
41,North,Oncology-A,7,Field,1,110.01
41,North,Oncology-A,8,Webinar,1,63.91
41,North,Oncology-A,9,Email,3,129.83
41,North,Oncology-A,10,Webinar,1,126.81
41,North,Oncology-A,11,Email,2,98.57
41,North,Oncology-A,12,Field,2,119.71
42,South,Oncology-B,1,Field,3,271.31
42,South,Oncology-B,2,Field,4,284.46
42,South,Oncology-B,3,Field,2,260.22
42,South,Oncology-B,4,Field,3,235.75
42,South,Oncology-B,5,Field,1,150.41
42,South,Oncology-B,6,Field,2,231.34
42,South,Oncology-B,7,Field,2,251.93
42,South,Oncology-B,8,Webinar,3,280.28
42,South,Oncology-B,9,Field,1,255.55
42,South,Oncology-B,10,Field,3,327.32
42,South,Oncology-B,11,Field,1,214.75
42,South,Oncology-B,12,Field,3,272.24
43,East,Immunology-A,1,Email,2,190.65
43,East,Immunology-A,2,Webinar,4,229.8
43,East,Immunology-A,3,Email,3,230.18
43,East,Immunology-A,4,Field,1,185.59
43,East,Immunology-A,5,Email,2,161.12
43,East,Immunology-A,6,Webinar,2,182.83
43,East,Immunology-A,7,Field,0,223.86
43,East,Immunology-A,8,Webinar,0,173.91
43,East,Immunology-A,9,Webinar,1,160.92
43,East,Immunology-A,10,Email,1,185.96
43,East,Immunology-A,11,Email,2,202.41
43,East,Immunology-A,12,Field,6,266.42
44,West,Diabetes-A,1,Email,5,179.9
44,West,Diabetes-A,2,Field,1,106.63
44,West,Diabetes-A,3,Field,1,84.04
44,West,Diabetes-A,4,Field,0,60.04
44,West,Diabetes-A,5,Field,1,87.98
44,West,Diabetes-A,6,Webinar,5,169.01
44,West,Diabetes-A,7,Email,4,151.56
44,West,Diabetes-A,8,Webinar,1,57.73
44,West,Diabetes-A,9,Email,2,81.81
44,West,Diabetes-A,10,Email,5,166.31
44,West,Diabetes-A,11,Field,1,78.05
44,West,Diabetes-A,12,Field,3,162.3
45,North,Oncology-A,1,Webinar,3,73.89
45,North,Oncology-A,2,Email,3,134.59
45,North,Oncology-A,3,Webinar,2,113.64
45,North,Oncology-A,4,Webinar,1,121.75
45,North,Oncology-A,5,Webinar,4,125.49
45,North,Oncology-A,6,Email,2,110.82
45,North,Oncology-A,7,Webinar,3,197.16
45,North,Oncology-A,8,Webinar,0,66.61
45,North,Oncology-A,9,Email,4,129.38
45,North,Oncology-A,10,Webinar,3,86.01
45,North,Oncology-A,11,Webinar,0,45.24
45,North,Oncology-A,12,Field,2,103.5
46,South,Oncology-B,1,Field,2,73.47
46,South,Oncology-B,2,Webinar,6,142.3
46,South,Oncology-B,3,Webinar,5,133.98
46,South,Oncology-B,4,Email,2,83.04
46,South,Oncology-B,5,Email,2,58.25
46,South,Oncology-B,6,Field,5,169.09
46,South,Oncology-B,7,Field,0,73.51
46,South,Oncology-B,8,Field,0,78.74
46,South,Oncology-B,9,Email,5,173.97
46,South,Oncology-B,10,Field,2,69.63
46,South,Oncology-B,11,Webinar,5,144.89
46,South,Oncology-B,12,Field,1,21.29
47,East,Immunology-A,1,Email,0,55.89
47,East,Immunology-A,2,Email,1,60.39
47,East,Immunology-A,3,Webinar,4,79.2
47,East,Immunology-A,4,Field,0,51.2
47,East,Immunology-A,5,Webinar,4,88.66
47,East,Immunology-A,6,Webinar,2,21.46
47,East,Immunology-A,7,Field,4,98.33
47,East,Immunology-A,8,Webinar,1,82.71
47,East,Immunology-A,9,Webinar,6,141.87
47,East,Immunology-A,10,Email,2,121.66
47,East,Immunology-A,11,Email,0,33.41
47,East,Immunology-A,12,Email,4,132.49
48,West,Diabetes-A,1,Webinar,4,214.41
48,West,Diabetes-A,2,Webinar,6,194.59
48,West,Diabetes-A,3,Webinar,4,214.44
48,West,Diabetes-A,4,Field,2,127.72
48,West,Diabetes-A,5,Webinar,2,101.46
48,West,Diabetes-A,6,Email,3,114.74
48,West,Diabetes-A,7,Webinar,3,144.05
48,West,Diabetes-A,8,Webinar,2,129.36
48,West,Diabetes-A,9,Webinar,3,160.1
48,West,Diabetes-A,10,Webinar,6,245.35
48,West,Diabetes-A,11,Webinar,0,123.77
48,West,Diabetes-A,12,Email,4,155.24
49,North,Oncology-A,1,Email,1,217.43
49,North,Oncology-A,2,Email,1,161.67
49,North,Oncology-A,3,Email,3,200.32
49,North,Oncology-A,4,Webinar,3,176.11
49,North,Oncology-A,5,Webinar,1,160.58
49,North,Oncology-A,6,Webinar,3,177.22
49,North,Oncology-A,7,Email,2,169.62
49,North,Oncology-A,8,Email,3,204.96
49,North,Oncology-A,9,Webinar,2,158.36
49,North,Oncology-A,10,Email,1,113.7
49,North,Oncology-A,11,Webinar,0,91.87
49,North,Oncology-A,12,Field,2,181.03
50,South,Oncology-B,1,Email,5,315.83
50,South,Oncology-B,2,Field,5,299.11
50,South,Oncology-B,3,Field,2,219.44
50,South,Oncology-B,4,Webinar,2,244.99
50,South,Oncology-B,5,Webinar,0,209.34
50,South,Oncology-B,6,Field,2,252.43
50,South,Oncology-B,7,Email,3,227.33
50,South,Oncology-B,8,Webinar,5,271.33
50,South,Oncology-B,9,Email,4,256.15
50,South,Oncology-B,10,Email,1,251.94
50,South,Oncology-B,11,Field,1,248.69
50,South,Oncology-B,12,Field,1,220.1
51,East,Immunology-A,1,Webinar,3,164.85
51,East,Immunology-A,2,Webinar,4,143.7
51,East,Immunology-A,3,Email,3,167.25
51,East,Immunology-A,4,Email,3,208.92
51,East,Immunology-A,5,Field,0,107.69
51,East,Immunology-A,6,Webinar,2,108.53
51,East,Immunology-A,7,Field,2,132.32
